company_name,company_category,description,tag_list,founded_at,country,state,region, funding_total_usd ,funded_at,funded_year,funded_quarter,CB_URL,homepage_url
Collaborative Software Initiative,software,Collaborative product development,,3/31/2007,USA,OR,Portland," 5,263,456 ",4/16/2007,2007,2007-Q2,http://www.crunchbase.com/company/collaborative-software-initiative,http://www.csinitiative.com
famo.us,software,Open Source JS Framework,"html5, javascript, mobile, ipad, iphone, android, gestures",6/1/2011,USA,CA,SF Bay," 5,100,000 ",9/10/2012,2012,2012-Q3,http://www.crunchbase.com/company/famo-us,http://famo.us
Bacula Systems,software,,,,CHE,,Switzerland - Other," 5,000,000 ",6/9/2011,2011,2011-Q2,http://www.crunchbase.com/company/bacula-systems,http://www.baculasystems.com
Skills Matter,software,Real Experts Real Skills,"community, software, scala, python, haskell, fsharp, java, dotnet, agile, software-craftsmanship, testing, ddd, architecture, bdd, conferences, talks, meetups, training, space, courses, nosql, html5, javascript, web, groovy, grails, spring, nservicebus, n",11/6/2003,GBR,,London," 5,000,000 ",12/6/2012,2012,2012-Q4,http://www.crunchbase.com/company/skills-matter,http://skillsmatter.com
Sift,software,Online community specialist,"online-communities, social-networks, online-publishing, open-source",7/1/1996,GBR,,Bristol," 4,666,789 ",1/31/2013,2013,2013-Q1,http://www.crunchbase.com/company/sift,http://www.sift.com
Datical,software,,,1/1/2012,USA,TX,Austin," 4,660,000 ",7/18/2012,2012,2012-Q3,http://www.crunchbase.com/company/datical,http://www.datical.com
CertiVox,security,"Authentication, key exchange solutions","open-source-two-factor-authentication, authentication, two-factor-authentication, secure-information-exchange-platform, cryptography, keys, encryption-and-decryption, aes, data-encryption, file-encryption, email-encryption, encryption-software, saas-softw",3/1/2009,GBR,,London," 4,507,187 ",3/7/2010,2010,2010-Q1,http://www.crunchbase.com/company/certivox,http://www.certivox.com
Protecode,software,Open Source License Management,"open-source, intellectual-property, ip-management, plug-in, software-development, external-content, ip-policies, licenses, developers, eclipse, cc, java",1/1/2007,CAN,,Ottawa," 4,190,878 ",1/15/2008,2008,2008-Q1,http://www.crunchbase.com/company/protecode,http://www.protecode.com
OpenERP,software,Open Source Business Applications,"open-source, erp, free, management, software",1/1/2005,BEL,,Grand-Rosiere," 4,094,700 ",2/16/2010,2010,2010-Q1,http://www.crunchbase.com/company/openerp,http://www.openerp.com
Arkeia Software,software,Backup Software and Backup Appliances,"backup-software, backup, venture-backed, data-protection, open-source, linux, appliances",1/1/1996,USA,CA,San Diego," 4,080,000 ",7/16/2007,2007,2007-Q3,http://www.crunchbase.com/company/arkeia-software,http://www.arkeia.com
Marketcetera,software,Open Source Automated Trading Platform,,1/1/2006,USA,CA,SF Bay," 4,000,000 ",6/5/2008,2008,2008-Q2,http://www.crunchbase.com/company/marketcetera,http://www.marketcetera.com
Super Technologies Inc.,mobile,,"didx, didxchange, super-technologies, rehan-ahmed, suzanne-bowen, virtual-phone-line, best-of-show, service-providers, voip, open-source, asterisk, sip",12/29/1999,USA,FL,Pensacola," 4,000,000 ",9/27/2010,2010,2010-Q3,http://www.crunchbase.com/company/super-technologies,http://www.supertec.com
Smile,software,,,1/1/1990,FRA,,Paris," 3,593,500 ",1/15/2010,2010,2010-Q1,http://www.crunchbase.com/company/smile,http://www.smile.fr
Mortar Data,software,Data Science at Scale,"big-data, hadoop, paas, pig, python, easy, cloud, techstars, techstars-boston-winter-2012, platform, open-source",8/1/2011,USA,NY,New York," 3,150,000 ",7/23/2012,2012,2012-Q3,http://www.crunchbase.com/company/mortar-data,http://www.mortardata.com
Crowd Fusion,software,Web CMS Framework,"cms, web, platform, framework, software, development, vertical-site-development",6/1/2007,,,unknown," 3,000,000 ",7/31/2008,2008,2008-Q3,http://www.crunchbase.com/company/crowd-fusion,http://www.crowdfusion.com
Gecad Technologies,software,messaging solutions,"axigen, mail, server, mailserver, email, email-server, linux, messaging, groupware, collaboration",2/15/2001,ROM,,Bucharest," 2,940,000 ",11/14/2007,2007,2007-Q4,http://www.crunchbase.com/company/gecad-technologies,http://www.axigen.com
op5,software,Develop network monitoring software,"network-monitoring, network-management, monitoring, open-source, log-management, log-archive",1/1/2003,SWE,,Kista," 2,907,982 ",8/29/2006,2006,2006-Q3,http://www.crunchbase.com/company/op5,http://www.op5.com
Hazelcast,software,In-Memory Data Grid,"cluster, distributed-computing, in-memory-data-grid, cloud-computing",12/20/2008,USA,CA,SF Bay," 2,500,000 ",9/19/2013,2013,2013-Q3,http://www.crunchbase.com/company/hazelcast,http://www.hazelcast.com
PrismTech,software,software integration middleware,"middleware, software, integration, data-distribution-service, dds, corba, software-defined-radio, sdr, software-communications-architecture, sca, opensplice, spectra, openfusion, realtime, cloud, bigdata, embedded",1/1/1992,USA,MA,Boston," 2,320,000 ",2/22/2010,2010,2010-Q1,http://www.crunchbase.com/company/prismtech,http://www.prismtech.com
Synesis,analytics,Open video analytics platform,"video-analytics, onvif, cloud, linux, skolkovo, vsaas, open-source",12/1/2007,RUS,,Moscow," 2,300,000 ",5/30/2012,2012,2012-Q2,http://www.crunchbase.com/company/synesis,http://synesis.ru
