company_name,company_category,description,tag_list,founded_at,country,state,region,funding_total_usd,funded_at,funded_year,funded_quarter,cb_url,homepage_url
DivvyHQ,software,Content Planning & Production Tool,"content, content-production, content-planning, content-management, social-media",6/1/2011,USA,MO,Kansas City,0,8/15/2013,2013,2013-Q3,/company/divvyhq,http://www.divvyhq.com
SourceNinja,software,Solving Open Source Headaches,"opensource, security, performance",,,,unknown,0,3/20/2012,2012,2012-Q1,/company/source-ninja,http://www.sourceninja.com
Flowify Limited,software,Intelligent Workflow Management Platform,"restaurant, management, hospitality, software, workflow, data, audit-trail, solution, efficiency, platform, organisation",3/1/2013,,,unknown,0,1/1/2013,2013,2013-Q1,/company/flowify-limited,http://www.flowify.net
Veeam Software,software,Solutions for VMware and Hyper-V,"vmware-backup, hyper-v-backup, vsphere-replication, vmware-backup-solutions, vmware-replication, vm-backup, esxi-backup, vmware-backup-software, hyper-v-replication, backup-vmware, virtual-machine-backup, backup-hyper-v, free-vmware-backup, backup-esxi, v",1/1/2006,USA,OH,Columbus,0,7/30/2013,2013,2013-Q3,/company/veeam-software,http://www.veeam.com
ExactFlat,software,,,,CAN,,Toronto,0,7/19/2013,2013,2013-Q3,/company/exactflat,http://exactflat.com
Slicebooks,software,,"ebooks, advertising, audio, video, multimedia, content, digital-content, ebook-store, mobile-marketing, instant-mobile-payment, proximity-payment, qr-codes, nfc, sliced-content, remixed-content",1/1/2011,USA,CO,Denver,0,7/31/2013,2013,2013-Q3,/company/slicebooks,https://slicebooks.com
Exelonix,software,,,,DEU,,unknown,0,8/2/2013,2013,2013-Q3,/company/exelonix,http://www.exelonix.com
Solano Labs,software,Continuous Integration & Deployment,"software-testing, continuous-integration, continuous-deployment, ruby, ruby-on-rails, rails, python, java, php, javascript, node-js, alm, agile, saas",3/1/2011,USA,CA,SF Bay,0,3/1/2013,2013,2013-Q1,/company/solano-labs,http://solanolabs.com
BlackLine Systems,software,,"account-reconciliation, account-reconciliations, reconciliation-software, accounting-reconciliation, accounting-reconciliations, general-ledger-reconciliation, transaction-matching, reconciliation-system, bank-reconciliation-software, bank-reconciliation",1/1/2001,USA,CA,Los Angeles,0,8/16/2013,2013,2013-Q3,/company/blackline,http://www.blackline.com
Ceannate,software,,,1/1/2004,USA,IL,Chicago,0,8/1/2011,2011,2011-Q3,/company/ceannate,http://www.ceannate.com
